Source,Target,Type,Id,Label,timeset,Weight,TYPE
884,315,Directed,3056,NEXT_WORD,,1,NEXT_WORD
1269,315,Directed,3084,NEXT_WORD,,1,NEXT_WORD
1504,315,Directed,4050,NEXT_WORD,,1,NEXT_WORD
342,315,Directed,4517,NEXT_WORD,,1,NEXT_WORD
764,315,Directed,4526,NEXT_WORD,,1,NEXT_WORD
1628,315,Directed,4566,NEXT_WORD,,1,NEXT_WORD
413,315,Directed,4626,NEXT_WORD,,1,NEXT_WORD
1689,315,Directed,4903,NEXT_WORD,,1,NEXT_WORD
1748,315,Directed,5135,NEXT_WORD,,1,NEXT_WORD
1770,315,Directed,5228,NEXT_WORD,,1,NEXT_WORD
315,3580,Directed,88,MENTIONED_BY,,1,MENTIONED_BY
315,574,Directed,1232,MENTIONED_BY,,1,MENTIONED_BY
316,319,Directed,95,NEXT_WORD,,1,NEXT_WORD
316,317,Directed,89,NEXT_WORD,,1,NEXT_WORD
316,663,Directed,947,NEXT_WORD,,1,NEXT_WORD
316,405,Directed,1100,NEXT_WORD,,1,NEXT_WORD
316,765,Directed,1136,NEXT_WORD,,1,NEXT_WORD
316,1337,Directed,3360,NEXT_WORD,,1,NEXT_WORD
316,752,Directed,3610,NEXT_WORD,,1,NEXT_WORD
316,1628,Directed,4627,NEXT_WORD,,1,NEXT_WORD
316,1775,Directed,5412,NEXT_WORD,,1,NEXT_WORD
316,732,Directed,7236,NEXT_WORD,,1,NEXT_WORD
316,2556,Directed,9416,NEXT_WORD,,1,NEXT_WORD
316,886,Directed,11938,NEXT_WORD,,1,NEXT_WORD
316,1517,Directed,12552,NEXT_WORD,,1,NEXT_WORD
316,1606,Directed,12555,NEXT_WORD,,1,NEXT_WORD
316,507,Directed,12625,NEXT_WORD,,1,NEXT_WORD
316,3035,Directed,12815,NEXT_WORD,,1,NEXT_WORD
316,3101,Directed,13199,NEXT_WORD,,1,NEXT_WORD
316,979,Directed,13572,NEXT_WORD,,1,NEXT_WORD
316,3248,Directed,14252,NEXT_WORD,,1,NEXT_WORD
316,1100,Directed,14481,NEXT_WORD,,1,NEXT_WORD
316,3222,Directed,15087,NEXT_WORD,,1,NEXT_WORD
316,1602,Directed,15741,NEXT_WORD,,1,NEXT_WORD
316,1304,Directed,15891,NEXT_WORD,,1,NEXT_WORD
316,646,Directed,16727,NEXT_WORD,,1,NEXT_WORD
578,316,Directed,16726,NEXT_WORD,,1,NEXT_WORD
318,316,Directed,93,NEXT_WORD,,1,NEXT_WORD
764,316,Directed,1134,NEXT_WORD,,1,NEXT_WORD
604,316,Directed,2692,NEXT_WORD,,1,NEXT_WORD
1235,316,Directed,3359,NEXT_WORD,,1,NEXT_WORD
1399,316,Directed,3609,NEXT_WORD,,1,NEXT_WORD
712,316,Directed,5411,NEXT_WORD,,1,NEXT_WORD
787,316,Directed,7235,NEXT_WORD,,1,NEXT_WORD
874,316,Directed,7381,NEXT_WORD,,1,NEXT_WORD
1720,316,Directed,9415,NEXT_WORD,,1,NEXT_WORD
480,316,Directed,11937,NEXT_WORD,,1,NEXT_WORD
2507,316,Directed,12550,NEXT_WORD,,1,NEXT_WORD
2888,316,Directed,12624,NEXT_WORD,,1,NEXT_WORD
3034,316,Directed,12813,NEXT_WORD,,1,NEXT_WORD
3086,316,Directed,13105,NEXT_WORD,,1,NEXT_WORD
590,316,Directed,13198,NEXT_WORD,,1,NEXT_WORD
799,316,Directed,13571,NEXT_WORD,,1,NEXT_WORD
2598,316,Directed,14251,NEXT_WORD,,1,NEXT_WORD
528,316,Directed,14542,NEXT_WORD,,1,NEXT_WORD
447,316,Directed,15257,NEXT_WORD,,1,NEXT_WORD
653,316,Directed,15740,NEXT_WORD,,1,NEXT_WORD
648,316,Directed,15889,NEXT_WORD,,1,NEXT_WORD
485,316,Directed,16506,NEXT_WORD,,1,NEXT_WORD
316,3580,Directed,90,MENTIONED_BY,,1,MENTIONED_BY
316,574,Directed,1137,MENTIONED_BY,,1,MENTIONED_BY
317,1290,Directed,16882,NEXT_WORD,,1,NEXT_WORD
317,711,Directed,16862,NEXT_WORD,,1,NEXT_WORD
317,2120,Directed,16507,NEXT_WORD,,1,NEXT_WORD
317,3202,Directed,16465,NEXT_WORD,,1,NEXT_WORD
317,3473,Directed,16357,NEXT_WORD,,1,NEXT_WORD
317,1999,Directed,16289,NEXT_WORD,,1,NEXT_WORD
317,1465,Directed,16190,NEXT_WORD,,1,NEXT_WORD
317,716,Directed,15504,NEXT_WORD,,1,NEXT_WORD
317,3351,Directed,15417,NEXT_WORD,,1,NEXT_WORD
317,829,Directed,15266,NEXT_WORD,,1,NEXT_WORD
317,3339,Directed,15237,NEXT_WORD,,1,NEXT_WORD
317,839,Directed,15203,NEXT_WORD,,1,NEXT_WORD
317,1696,Directed,15081,NEXT_WORD,,1,NEXT_WORD
317,697,Directed,14893,NEXT_WORD,,1,NEXT_WORD
317,1218,Directed,14865,NEXT_WORD,,1,NEXT_WORD
317,337,Directed,14742,NEXT_WORD,,1,NEXT_WORD
317,3282,Directed,14607,NEXT_WORD,,1,NEXT_WORD
